date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:04	208/208	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2017%20May%202019%2010:32:03%20GMT	http://kdf-service.ru/robots.txt		(from )
16:32:04	69875/69875	---MCZ	200	added ('OK')	text/html	date:Fri,%2017%20May%202019%2010:32:03%20GMT	http://kdf-service.ru/	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/index.html	(from )
16:32:05	127343/127343	---M-Z	200	added ('OK')	text/css	etag:%221544639649%22	https://maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	C:/Work/kdf-service.ru/kdf-service.ru/maxcdn.bootstrapcdn.com/bootstrap/4.0.0-beta.2/css/bootstrap.min.css	(from http://kdf-service.ru/)
16:32:05	29155/29155	---MCZ	200	added ('OK')	text/css	etag:W/%225c45942e-71e3%22	http://kdf-service.ru/css/main.min.css?v=1	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/main.min3860.css	(from http://kdf-service.ru/)
16:32:05	55222/55222	---MCZ	200	added ('OK')	text/css	etag:W/%225a67d076-d7b6%22	http://kdf-service.ru/css/animate.min.css	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/animate.min.css	(from http://kdf-service.ru/)
16:32:09	166048/166048	---M--	200	added ('OK')	text/html	etag:%22288a0-5637a94bd7ae7%22	http://kdf-service.ru/css/fonts/Geometria-ExtaBlack.otf	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/fonts/Geometria-ExtaBlack.html	(from http://kdf-service.ru/)
16:32:13	163352/163352	---M--	200	added ('OK')	text/html	etag:%2227e18-5637a94f12d47%22	http://kdf-service.ru/css/fonts/Geometria-Light.otf	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/fonts/Geometria-Light.html	(from http://kdf-service.ru/)
16:32:13	166892/166892	---M--	200	added ('OK')	text/html	etag:%2228bec-5637a94f51547%22	http://kdf-service.ru/css/fonts/Geometria-Medium.otf	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/fonts/Geometria-Medium.html	(from http://kdf-service.ru/)
16:32:18	167416/167416	---M--	200	added ('OK')	text/html	etag:%2228df8-5637a94c21e67%22	http://kdf-service.ru/css/fonts/Geometria-ExtraLight.otf	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/fonts/Geometria-ExtraLight.html	(from http://kdf-service.ru/)
16:32:18	167732/167732	---M--	200	added ('OK')	text/html	etag:%2228f34-5637a94f989e7%22	http://kdf-service.ru/css/fonts/Geometria.otf	C:/Work/kdf-service.ru/kdf-service.ru/kdf-service.ru/css/fonts/Geometria.html	(from http://kdf-service.ru/)
